ID,item_cnt_month
0,1.04
1,0.0
2,1.56
3,0.605
4,0.0
5,1.34
6,0.96
7,0.0
8,1.04
9,0.0
10,2.56
11,0.08666666666666666
12,0.17105122655122648
13,0.6880000000000002
14,1.73
15,3.16
16,0.0
17,0.0
18,1.99
19,0.20101749591997264
20,0.71
21,0.0
22,1.55
23,1.05
24,1.979
25,0.0
26,0.0
27,0.82
28,1.78
29,3.99
30,1.31
31,0.0
32,0.52
33,0.8
34,0.11173061981745101
35,0.06471115515891057
36,0.13304139590872321
37,0.76
38,0.63
39,0.495
40,0.25
41,2.06
42,4.16
43,4.37
44,0.75
45,0.0
46,1.89
47,0.21
48,0.44
49,1.54
50,1.24
51,0.3483095238095239
52,0.96
53,0.11
54,6.01
55,2.81
56,2.22
57,2.7
58,3.65
59,2.85
60,4.46
61,0.81
62,1.04
63,0.4
64,0.0
65,0.0
66,0.6133333333333333
67,0.06452709558691855
68,1.13
69,0.1819380341880342
70,0.0
71,3.24
72,0.19
73,1.48
74,0.0
75,0.0
76,0.774
77,0.0
78,0.74
79,0.62
80,0.76
81,1.8
82,1.09
83,0.89
84,1.85
85,1.05
86,0.55
87,0.0
88,3.04
89,1.3
90,0.82
91,0.03
92,1.76
93,0.05
94,1.15
95,0.09199113490568596
96,0.060175209408928614
97,0.9704999999999999
98,0.97
99,1.318
100,1.93
101,0.25
102,0.66
103,0.63
104,0.18577518095939144
105,0.0
106,0.0
107,0.89
108,0.11376221654162827
109,0.0
110,0.21
111,0.0
112,0.0
113,0.0
114,0.33
115,0.8
116,0.0
117,0.0006666666666666666
118,8.9
119,0.07045454545454545
120,0.19215501818442995
121,0.0
122,0.95
123,0.65
124,1.21
125,1.27
126,0.0
127,0.11686826400044864
128,0.0
129,0.25
130,0.8083333333333332
131,0.0
132,2.4181666666666666
133,6.77
134,0.10280501851090089
135,0.25
136,1.03
137,0.0
138,1.05
139,0.0
140,0.55
141,0.5
142,0.4890555555555555
143,0.22150000000000003
144,0.0
145,0.0
146,0.0
147,0.11071459096459092
148,0.0
149,0.0
150,0.10378784897592942
151,0.0
152,5.71
153,0.29
154,0.0
155,0.27
156,0.22
157,0.06832569073513345
158,0.01
159,0.65
160,0.0
161,0.02
162,0.0
163,0.81
164,0.16
165,0.06609972930219594
166,0.8083333333333335
167,0.0975524753024753
168,0.0
169,0.0
170,0.01
171,0.0
172,1.0883333333333334
173,1.23
174,2.03
175,4.14
176,1.46
177,0.0
178,0.13
179,0.056796877041984065
180,1.26
181,0.39
182,0.0
183,0.15
184,0.07833333333333332
185,0.0
186,0.0791477162328555
187,0.12
188,0.0
189,0.0
190,0.0
191,0.744336093529121
192,0.28
193,0.41
194,0.054631846353817654
195,0.05061111111111112
