nan	187288
6.0	23616
1.0	46437
241.0	354
4.0	31719
2.0	40932
3.0	35472
413.0	154
23.0	7673
0.0	100446
19.0	9755
52.0	3181
102.0	1160
10.0	16092
593.0	77
7377.0	1
14.0	12644
8.0	20628
122.0	865
305.0	241
407.0	147
20.0	8824
28.0	6436
321.0	236
46.0	3633
11.0	15273
801.0	63
5.0	25788
7.0	21578
2095.0	10
77.0	1934
61.0	2611
68.0	2369
54.0	3057
24.0	7464
601.0	87
70.0	2171
15.0	11973
12.0	14399
32.0	5684
29.0	6261
1790.0	22
173.0	541
53.0	2972
40.0	4268
35.0	5073
21.0	8419
124.0	906
37.0	4745
2834.0	6
671.0	70
1023.0	36
78.0	1855
57.0	2761
494.0	124
417.0	175
16.0	11279
168.0	579
1129.0	34
14784.0	2
165.0	566
84.0	1653
826.0	52
167.0	571
42.0	3954
1687.0	15
48.0	3513
33.0	5442
117.0	990
45.0	3773
72.0	2082
27.0	6532
130.0	806
25.0	7327
12460.0	1
115.0	1018
13.0	13391
790.0	57
690.0	80
134.0	855
96.0	1284
22.0	7972
1834.0	14
9.0	18513
18.0	10189
50.0	3343
126.0	850
140.0	746
2654.0	8
155.0	622
91.0	1473
39.0	4561
56.0	2916
892.0	44
1148.0	26
90.0	1448
17.0	10833
235.0	361
36.0	4904
650.0	71
67.0	2253
184.0	508
89.0	1466
748.0	54
162.0	597
63.0	2491
1455.0	22
125.0	895
109.0	1088
55.0	2952
546.0	97
93.0	1420
393.0	157
857.0	48
269.0	289
151.0	702
197.0	462
1344.0	23
60.0	2598
1586.0	12
147.0	744
194.0	459
95.0	1309
193.0	460
298.0	247
43.0	3983
80.0	1703
707.0	65
236.0	382
939.0	35
137.0	786
234.0	354
44.0	3801
306.0	270
214.0	366
133.0	796
3894.0	3
157.0	659
31.0	5765
2517.0	6
120.0	950
744.0	54
64.0	2442
41.0	4116
153.0	639
103.0	1118
104.0	1165
87.0	1541
301.0	267
975.0	36
100.0	1235
97.0	1342
9283.0	1
272.0	285
34.0	5174
156.0	679
62.0	2656
145.0	661
112.0	1044
831.0	36
98.0	1295
464.0	118
288.0	270
83.0	1655
363.0	187
6868.0	2
174.0	519
1106.0	31
320.0	233
428.0	141
365.0	182
297.0	281
51.0	3227
1078.0	30
141.0	756
38.0	4695
434.0	149
113.0	1012
148.0	687
474.0	131
442.0	144
1610.0	20
904.0	53
325.0	222
832.0	60
107.0	1122
674.0	72
389.0	171
129.0	811
81.0	1724
191.0	511
379.0	161
47.0	3717
824.0	61
233.0	373
287.0	236
206.0	468
307.0	249
1365.0	12
30.0	5971
159.0	649
164.0	635
142.0	733
1543.0	19
1311.0	23
59.0	2792
26.0	6887
453.0	143
368.0	160
58.0	2781
358.0	176
76.0	1891
180.0	570
2267.0	13
520.0	129
1493.0	22
775.0	56
94.0	1307
524.0	102
615.0	79
150.0	703
422.0	125
116.0	985
169.0	589
345.0	197
14649.0	1
75.0	1986
205.0	472
225.0	386
328.0	194
2436.0	8
65.0	2438
88.0	1544
192.0	461
432.0	142
519.0	99
354.0	210
144.0	779
274.0	288
374.0	172
371.0	182
370.0	175
295.0	249
196.0	497
762.0	57
806.0	58
15702.0	1
1137.0	35
171.0	556
108.0	1104
154.0	682
527.0	87
82.0	1716
66.0	2404
1350.0	22
730.0	53
623.0	102
285.0	263
1928.0	13
183.0	490
634.0	75
248.0	333
69.0	2154
256.0	353
111.0	985
261.0	311
105.0	1164
181.0	546
217.0	399
3371.0	12
1447.0	20
2023.0	14
679.0	54
408.0	155
770.0	61
5389.0	7
352.0	177
2146.0	14
451.0	136
322.0	210
202.0	469
5338.0	2
495.0	128
341.0	197
693.0	85
224.0	402
323.0	250
1469.0	18
276.0	271
435.0	165
7517.0	2
294.0	237
492.0	113
525.0	88
73.0	2018
339.0	227
465.0	120
528.0	110
410.0	145
138.0	804
1364.0	23
2048.0	14
317.0	227
240.0	349
978.0	40
119.0	959
245.0	338
204.0	435
106.0	1057
450.0	117
74.0	1963
71.0	2106
149.0	739
3081.0	5
263.0	294
176.0	549
835.0	47
249.0	334
101.0	1202
400.0	183
3514.0	3
1946.0	19
344.0	185
1097.0	28
394.0	174
330.0	187
247.0	335
139.0	800
278.0	261
258.0	331
7615.0	2
24045.0	1
1444.0	33
491.0	123
1596.0	17
5400.0	2
878.0	45
268.0	292
2997.0	7
316.0	220
460.0	138
482.0	125
172.0	546
4929.0	3
326.0	230
1116.0	31
2036.0	9
257.0	303
198.0	472
548.0	86
114.0	974
3592.0	6
382.0	192
14642.0	1
14668.0	1
3936.0	5
2164.0	16
1467.0	18
353.0	217
86.0	1535
312.0	228
2343.0	8
188.0	476
166.0	576
2745.0	7
313.0	246
213.0	434
127.0	828
15776.0	1
136.0	844
175.0	544
178.0	531
1801.0	22
286.0	268
1858.0	21
712.0	66
1403.0	27
118.0	981
1440.0	20
99.0	1248
123.0	890
3932.0	3
544.0	96
1224.0	25
110.0	1070
223.0	382
296.0	253
347.0	185
596.0	95
7734.0	2
79.0	1893
170.0	581
629.0	64
526.0	93
1337.0	22
160.0	638
318.0	220
186.0	526
203.0	457
508.0	102
266.0	268
220.0	401
49.0	3453
121.0	934
348.0	222
250.0	322
1913.0	10
270.0	284
132.0	847
271.0	286
554.0	89
722.0	53
716.0	56
405.0	163
255.0	331
1336.0	20
252.0	330
3019.0	9
630.0	79
334.0	196
